	SRR13675761	SRR13675762	SRR13675763	SRR13675764	SRR13675765	SRR13675766	SRR13675767	SRR13675768	SRR13675769	SRR13675770	SRR13675771	SRR13675772	SRR13675773	SRR13675774	SRR13675775	SRR13675776	SRR13675777	SRR13675778	SRR13675779	SRR13675780	SRR13675781	SRR13675782	SRR13675783	SRR13675784	SRR13675785	SRR13675786	SRR13675787	SRR13675788	SRR13675789	SRR13675790	SRR13675791	SRR13675792	SRR13675793	SRR13675794	SRR13675795	SRR13675796	SRR13675797	SRR13675798	SRR13675799	SRR13675800	SRR13675801	SRR13675802	SRR13675803	SRR13675804	SRR13675805	SRR13675806	SRR13675807	SRR13675808	SRR13675809	SRR13675810	SRR13675811	SRR13675812	SRR13675813	SRR13675814	SRR13675815	SRR13675816	SRR13675817	SRR13675818	SRR13675819	SRR13675820	SRR13675821	SRR13675822	SRR13675823	SRR13675824	SRR13675825	SRR13675826	SRR13675827	SRR13675828	SRR13675829	SRR13675830	SRR13675831	SRR13675832	SRR13675833	SRR13675834	SRR13675835	SRR13675836	SRR13675837	SRR13675838	SRR13675839	SRR13675840	SRR13675841	SRR13675842	SRR13675843	SRR13675844	SRR13675845	SRR13675846	SRR13675847	SRR13675848	SRR13675849	SRR13675850	SRR13675851	SRR13675852	SRR13675853	SRR13675854	SRR13675855	SRR13675856	SRR13675857	SRR13675858	SRR13675859	SRR13675860	SRR13675861	SRR13675862	SRR13675863	SRR13675864	SRR13675865	SRR13675866	SRR13675867	SRR13675868	SRR13675869	SRR13675870	SRR13675871	SRR13675872	SRR13675873	SRR13675874	SRR13675875	SRR13675876	SRR13675877	SRR13675878	SRR13675879	SRR13675880	SRR13675881	SRR13675882	SRR13675883	SRR13675884	SRR13675885	SRR13675886	SRR13675887	SRR13675888	SRR13675889	SRR13675890	SRR13675891	SRR13675892	SRR13675893	SRR13675894	SRR13675895	SRR13675896	SRR13675897	SRR13675898	SRR13675899	SRR13675900	SRR13675901	SRR13675902	SRR13675903	SRR13675904	SRR13675905	SRR13675906	SRR13675907	SRR13675908	SRR13675909	SRR13675910	SRR13675911	SRR13675912	SRR13675913	SRR13675914	SRR13675915	SRR13675916	SRR13675917	SRR13675918	SRR13675919	SRR13675920	SRR13675921	SRR13675922	SRR13675923	SRR13675924	SRR13675925	SRR13675926	SRR13675927	SRR13675928	SRR13675929	SRR13675930	SRR13675931	SRR13675932	SRR13675933	SRR13675934	SRR13675935	SRR13675936	SRR13675937	SRR13675938	SRR13675939	SRR13675940	SRR13675941	SRR13675942	SRR13675943	SRR13675944	SRR13675945	SRR13675946
ASV_0338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	687	33	75	0	50	31	0	0	239	0	0	0	753	1177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	3154	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	860	310	0	213	123	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	246	0	0	24	0	0	7	0	194	403	0	3	96	110	0	0	0	0	0	0	0	0	0	0	3	3	19	0	0	0	0	271	680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	951	0	0	616	1587	0	0	197	0	140	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0342	0	0	0	0	0	0	0	14	0	0	0	42	0	0	0	99	0	9	0	0	0	0	0	8	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	98	0	0	0	0	7	0	0	0	15	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	463	1322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	21	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0343	0	0	0	0	0	0	0	0	55	19	0	12	31	37	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	12	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	836	1560	0	26	0	21	0	0	6	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	111	0	0	0	49	0	0	140	0	0	331	254	0	0	0	0	0	0	0	8	0	0	0	36	31	0	0	0	7	2	0	0	5	5	0	9	0	0	0	0	0
ASV_0344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	11	1419	2111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	5	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0345	0	0	11	227	9	0	0	0	194	230	0	37	164	216	0	24	0	0	0	0	0	16	0	9	0	245	108	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	42	65	0	0	0	289	17	0	0	46	30	0	0	0	147	337	0	16	199	38	0	0	66	0	0	0	0	224	364	0	0	0	0	0	0	0	23	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	54	0	0	0	7	0	16	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	144	231	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	19	0	0	95	184	58	0	0	679	709	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	38	0	0	0	215	166	0	0	0	110	62	0	0	0	0	0	0	7	0	0	0	0
ASV_0347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	85	0	0	118	270	0	0	0	131	30	0	32	1200	701	35	0	0	69	57	0	0	673	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	210	0	0	0	0	0	1017	927	56	159	0	0	57	0	0	118	0	0	0	214	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0349	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	30	42	0	0	0	48	0	0	14	26	0	19	30	86	0	0	0	22	39	25	0	0	88	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	48	0	24	88	143	0	0	0	0	0	0	0	0	0	0	0	254	41	0	0	0	268	156	0	0	0	0	0	0	0	0	8	0	0	0	15	0	0	0	0	0	0	5	0	60	0	0	55	59	0	0	0	0	0	0	0	0	0	0	3	0	50	0	0	0	0	314	341	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	68	13	0	0	181	0	8	40	85	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
ASV_0350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1187	0	311	134	0	0	44	1844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0351	0	0	0	0	0	0	795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	616	0	15	4	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	0	119	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	932	0	0	0	0
ASV_0352	33	40	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	16	0	0	48	0	0	19	27	0	0	0	14	48	0	0	0	95	3	0	0	0	184	0	0	0	0	0	0	0	37	0	0	19	0	2635	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10	22	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	19	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	49	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_0353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	3434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	126	0	205	71	0	0	12	71	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	49	0	0	0	0	0	0	0	982	250	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	38	843	0	0	0	147	0	0	0	55	0	0	0	0	14	0	0	0	0	0	0	0	63	0	0	110
ASV_0355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	21	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	68	0	0	59	0	0	0	0	476	768	0	0	349	333	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1041	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0356	107	1452	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	23	62	0	0	0	307	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	48	0	0	0	0	0	0	0	0	11	0	6	98	0	0	0	80	114	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	30	0	0	0	48	0	0	0	0	0	0	0	0	0
ASV_0357	0	0	0	360	0	0	0	404	0	0	0	1560	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	85	0	21	0	13	0	0	0	92	0	0	0	1223	1809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0359	6	9	0	0	0	0	0	0	0	0	0	4	0	0	0	25	0	102	0	0	25	0	0	0	1253	0	0	0	194	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	37	0	8	0	0	0	0	0	0	0	27	43	0	0	222	6	0	0	0	15	0	0	0	0	0	0	0	0	920	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	21	0	0	42	0	0	0	0	0	0	32	58	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
ASV_0360	0	0	0	0	0	0	0	0	0	0	0	0	21	4	0	0	0	0	6	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	241	0	0	111	180	0	0	0	128	29	0	0	128	94	0	0	0	0	5	0	11	136	11	0	0	121	231	0	0	0	157	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	49	0	0	0	69	0	0	56	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	505	182	0	14	100	167	0	0	0	0	0	0	0
ASV_0361	0	0	0	0	0	0	0	0	5	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333	0	0	0	343	0	29	449	0	9	393	575	28	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0362	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	44	0	166	127	455	0	12	0	47	365	0	0	0	59	0	16	8	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	234	63	0	0	76	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	14	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	27	0	0	0	0	0	0	0	0	138	407	0	0	0	115	119	0	0	76	48	4	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0
ASV_0363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	257	0	0	0	22	0	0	921	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	39	0	0	97	525	343	0	136	0	0	26	0	0
ASV_0364	100	49	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	123	0	0	0	63	70	0	0	159	37	30	0	0	0	0	0	0	75	56	0	7	26	109	0	0	0	0	0	264	28	0	133	83	0	0	55	26	0	0	17	89	62	0	0	66	44	0	6	0	146	296	0	10	0	404	0	0	135	0	0	20	417	0	0
ASV_0365	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	6	0	0	15	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	58	0	0	0	0	0	0	0	32	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	41	0	0	2	12	0	0	0	0	0	0	20	79	379	1505	149	6	6	52	556	0	0	6	8	3	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0
ASV_0366	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	22	0	0	0	0	636	0	0	511	1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	19	148	0	0	62	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	12	0	0	0	100	868	0	0	58	0	2	19	0	194	282	0	0	291	187	0	0	22	0	0	0	0	0	0	0	6	0	8	0	0	0	0	32	64	0	0	0	0	0	0	0	0	0	0	0	37	0	0	4	6	0	0	16	21	0	220	441	0	0	0	234	0	0	15	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	646	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	938	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	20	16	0	0	0	0	8	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	48	148	0	0	0	0	47	0	0	0	0	0	0	0	18	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	13	1123	892	0	27	281	488	0	0	0	0	0	5	0
ASV_0370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
